config_id,config_name,initial_equity,risk_per_unit_pct,max_positions,enable_longs,enable_shorts,enable_system1,enable_system2,balance_long_short_units,seed,final_equity,total_pnl,total_return_pct,num_trades,max_drawdown_pct,win_rate,system1_long_pnl,system1_long_count,system1_long_win_rate,system1_short_pnl,system1_short_count,system1_short_win_rate,system2_long_pnl,system2_long_count,system2_long_win_rate,system2_short_pnl,system2_short_count,system2_short_win_rate
03237baa4ce25c6d1f2629bb665d0772,long_short_system1_seed43_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,43.0,1565790.7496457992,1555790.7496457992,15557.907496457992,616.0,27.687991132927575,27.759740259740266,667928.8238990541,165.0,36.36363636363637,713831.2273370789,451.0,24.6119733924612,0.0,0.0,0.0,0.0,0.0,0.0
23042501c5417d76ee2bbd40253c8bab,long_short_system1_seed45_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,45.0,4045774.7080537025,4035774.7080537025,40357.747080537025,586.0,25.563956983250495,34.30034129692833,1682895.7562815186,151.0,39.735099337748345,1949548.7359041492,435.0,32.41379310344827,0.0,0.0,0.0,0.0,0.0,0.0
631765a190d565509bc1b1708ff952b3,long_short_system1_seed44_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,44.0,1791318.303521299,1781318.303521299,17813.18303521299,607.0,34.790634744914556,30.477759472817137,850810.940090489,162.0,33.95061728395062,718817.9423634891,445.0,29.213483146067414,0.0,0.0,0.0,0.0,0.0,0.0
951e23d50df4dd69bf93153fa330855d,long_short_system1_seed46_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,46.0,312878.31219194183,302878.31219194183,3028.783121919418,590.0,33.01554834848196,27.11864406779661,80995.9139336247,156.0,32.05128205128205,206772.55278630368,434.0,25.34562211981567,0.0,0.0,0.0,0.0,0.0,0.0
d09969943d984e6f0dfe8c8044966127,long_short_system1_seed47_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,47.0,2449850.1874301834,2439850.1874301834,24398.501874301834,558.0,41.74263193860087,29.39068100358423,314458.2632170013,146.0,35.61643835616438,1854504.0771831789,412.0,27.18446601941747,0.0,0.0,0.0,0.0,0.0,0.0
f7fd947b621ac13c300105d73402cd1e,long_short_system1_seed48_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,48.0,4572179.3519678805,4562179.3519678805,45621.79351967881,573.0,38.91836015543653,31.762652705061083,667739.7926247532,148.0,37.83783783783784,2519841.1439453447,425.0,29.64705882352941,0.0,0.0,0.0,0.0,0.0,0.0
1e7c59bac57a0bb7ccb232a508cc82df,long_short_system1_seed49_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,49.0,1391801.8390339746,1381801.8390339746,13818.018390339745,579.0,41.65793138595581,26.07944732297064,1055251.193352598,148.0,30.405405405405407,234324.78575028223,431.0,24.593967517401392,0.0,0.0,0.0,0.0,0.0,0.0
f98d850b3be2ac0816431224ff541cc0,long_short_system1_seed50_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,50.0,1128145.7751023923,1118145.7751023923,11181.457751023929,633.0,35.407046393546565,30.48973143759874,488488.1281374123,166.0,41.566265060240966,483229.22706156306,467.0,26.552462526766597,0.0,0.0,0.0,0.0,0.0,0.0
1bbbfd835d517417e07bbcc079d75174,long_short_system1_seed53_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,53.0,3223431.7750551407,3213431.7750551407,32134.317750551407,608.0,29.003936245529516,31.085526315789476,1128694.7399610255,160.0,36.875,1924476.5267413333,448.0,29.017857142857142,0.0,0.0,0.0,0.0,0.0,0.0
d3cac75698d3e6e927063187c62c4155,long_short_system1_seed51_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,51.0,1480365.5090652225,1470365.5090652225,14703.655090652224,588.0,24.266825092391745,32.31292517006803,529264.2234068213,147.0,43.53741496598639,948094.720562853,441.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0
89f2ab38cfce7060df43077a36c58d47,long_short_system1_seed52_risk50bp,10000.0,0.005,100.0,True,True,True,False,False,52.0,5001708.656029664,4991708.656029664,49917.08656029664,594.0,47.46702983921622,32.49158249158249,1229529.698262142,150.0,39.33333333333333,2361852.5922284652,444.0,30.180180180180184,0.0,0.0,0.0,0.0,0.0,0.0
